pincode,eq_zone
110000,2
110001,2
110002,2
110003,2
110004,2
110005,2
110006,2
110007,2
110008,2
110009,2
110010,2
110011,2
110012,2
110013,2
110014,2
110015,2
110016,2
110017,2
110018,2
110019,2
110020,2
110021,2
110022,2
110023,2
110024,2
110025,2
110026,2
110027,2
110028,2
110029,2
110030,2
110031,2
110032,2
110033,2
110034,2
110035,2
110036,2
110037,2
110038,2
110039,2
110040,2
110041,2
110042,2
110043,2
110044,2
110045,2
110046,2
110047,2
110048,2
110049,2
110050,2
110051,2
110052,2
110053,2
110054,2
110055,2
110056,2
110057,2
110058,2
110059,2
110060,2
110061,2
110062,2
110063,2
110064,2
110065,2
110066,2
110067,2
110068,2
110069,2
110070,2
110071,2
110072,2
110073,2
110074,2
110075,2
110076,2
110077,2
110078,2
110080,2
110081,2
110082,2
110083,2
110084,2
110085,2
110086,2
110087,2
110088,2
110089,2
110090,2
110091,2
110092,2
110093,2
110094,2
110095,2
110096,2
110503,2
121001,2
121002,2
121003,2
121004,2
121005,2
121006,2
121007,2
121008,2
121009,2
121010,2
121011,2
121013,2
121101,2
121102,2
121103,2
121104,2
121105,2
121106,2
121107,2
121705,3
122001,2
122002,2
122003,2
122004,2
122005,2
122006,2
122007,2
122008,2
122009,2
122010,2
122011,2
122015,2
122016,2
122017,2
122018,2
122022,2
122050,2
122051,2
122100,2
122101,2
122102,2
122103,2
122104,2
122105,2
122106,2
122107,2
122108,2
122109,2
122211,2
122413,2
122414,2
122502,2
122503,2
122504,2
122505,2
122506,2
122508,2
123001,3
123003,2
123020,3
123021,3
123022,3
123023,3
123024,3
123025,3
123026,3
123027,3
123028,3
123029,3
123034,3
123035,2
123101,2
123102,2
123103,2
123106,2
123301,2
123302,2
123303,2
123305,2
123306,3
123401,2
123411,2
123413,2
123414,2
123501,3
123502,2
123504,2
123505,2
123506,2
124001,2
124002,2
124003,2
124004,2
124005,2
124006,2
124007,2
124008,2
124021,2
124022,2
124023,2
124024,2
124025,2
124026,2
124027,2
124028,2
124029,2
124030,2
124031,2
124101,2
124102,2
124103,2
124104,2
124105,2
124106,2
124107,2
124108,2
124109,2
124111,2
124112,2
124113,2
124142,2
124146,2
124201,2
124202,2
124303,2
124401,2
124404,2
124406,2
124411,2
124412,2
124416,2
124501,2
124504,2
124505,2
124506,2
124507,2
124513,2
124514,2
124516,2
124524,2
125001,3
125002,3
125003,3
125004,3
125005,3
125006,3
125011,3
125012,3
125021,3
125022,3
125023,3
125033,3
125037,3
125038,3
125039,3
125041,3
125042,3
125044,3
125047,3
125048,3
